Timestamp,Server_ID,CPU_Usage(%),Memory_Usage(%),Disk_IO(MB/s),Network_In(MB/s),Network_Out(MB/s),Unnamed: 7,Latency(ms),Request_Count,Security_Alerts,Anomaly_Score,Alert_Triggered,Mitigation_Suggestion,Resource_Utilization,Anomaly_Type,IP_Address
46:58.7,Server_274,54.08208148,61.82828578,512.2999031,56.46398789,209.9969854,,112.8516905,7465,0,0.556463576,0,Investigate Security Breach,high,None,204.79.98.216
41:58.7,Server_388,26.38054282,84.67188284,769.7154988,214.10435,439.6947012,,144.0122546,3468,4,0.68382835,0,None,low,CPU Spike,216.242.44.155
36:58.7,Server_601,44.0238235,31.73082077,621.0739077,490.3357726,447.4337158,,67.05227476,3453,0,0.30436208,0,Monitor,high,None,217.6.137.212
31:58.7,Server_316,88.30055983,59.89703483,522.4724143,477.6475823,334.2140636,,57.32158627,1721,0,0.323558204,0,Investigate Security Breach,low,CPU Spike,66.215.17.129
26:58.7,Server_14,55.11387939,78.84951529,575.9325413,473.8312077,476.9457286,,80.95188829,4123,2,0.168403551,0,Investigate Security Breach,low,CPU Spike,81.102.121.62
21:58.7,Server_242,36.75045287,51.6234337,638.2700751,301.6291508,45.40829898,,85.02804177,1807,0,0.118086033,0,None,low,None,166.204.231.200
16:58.7,Server_777,24.74939364,83.91114817,697.9713967,154.3997636,191.5421421,,44.91917018,4719,5,0.77964887,1,Monitor,high,CPU Spike,99.130.220.195
11:58.7,Server_346,81.03086164,17.47123915,388.376307,183.9263069,398.3903879,,130.6605651,5236,2,0.361104835,0,Investigate Security Breach,low,Memory Leak,138.133.12.166
06:58.7,Server_565,64.32921146,74.72028769,541.5058196,110.961771,421.5403708,,156.7080196,9563,3,0.479305987,0,Restart Service,high,None,172.49.58.141
01:58.7,Server_898,49.46621874,94.58329869,309.8917028,57.82300049,54.83188306,,127.5975483,4028,0,0.999445345,1,Monitor,medium,DDoS Attack,96.202.34.25
56:58.7,Server_340,25.66101362,36.52891549,984.7905499,92.73738019,297.7053504,,105.6248334,1182,4,0.862221304,1,Increase Resources,high,None,168.56.166.125
51:58.7,Server_92,36.75340554,39.80196203,227.9236638,238.9580762,336.403802,,118.8939846,5915,1,0.429951383,0,None,low,CPU Spike,1.25.94.42
46:58.7,Server_367,96.18512554,12.93721933,193.1243648,23.24487213,118.7297791,,107.5712718,5061,2,0.958640505,1,Increase Resources,high,DDoS Attack,146.105.110.9
41:58.7,Server_956,54.40854407,65.94181406,305.381162,470.2061487,26.34150103,,98.12838292,9165,1,0.470356072,0,Monitor,low,DDoS Attack,15.99.237.234
36:58.7,Server_455,43.06643172,57.48281894,924.051538,285.1952796,20.14880835,,15.34899096,1263,2,0.929962415,1,Monitor,low,Memory Leak,4.80.110.63
31:58.7,Server_428,54.53509402,8.83284708,675.9132552,95.02493031,185.9098504,,112.7653884,5726,5,0.334846209,0,None,low,None,87.234.105.23
26:58.7,Server_509,79.00390806,76.46014256,483.1311494,214.0069126,72.45769404,,24.21954758,7370,3,0.807938794,1,Restart Service,high,None,251.193.7.192
21:58.7,Server_776,37.31034897,83.7820271,929.1256372,194.3805385,289.8963248,,113.8522853,9162,1,0.916763633,1,None,low,Memory Leak,20.222.47.171
16:58.7,Server_943,21.97708149,91.17636239,905.1398329,419.3213907,132.4855966,,104.3109891,2399,4,0.720987642,1,Investigate Security Breach,low,CPU Spike,161.172.177.51
11:58.7,Server_35,60.56893124,56.84473819,431.5128806,69.04247975,175.6697749,,172.3646668,1370,4,0.477718387,0,Monitor,medium,DDoS Attack,83.207.87.34
06:58.7,Server_206,68.19438983,47.99510332,585.458915,220.6366152,178.844795,,88.15490918,2868,4,0.184709439,0,None,medium,Security Breach,241.47.237.252
01:58.7,Server_81,72.70821028,88.23302968,910.1052829,358.541938,466.3399316,,191.0696707,1326,3,0.178947494,0,Investigate Security Breach,low,DDoS Attack,111.12.113.201
56:58.7,Server_932,88.78882112,42.87619781,353.4287293,192.8625758,432.1754648,,97.08299149,635,3,0.287824941,0,Monitor,low,None,57.171.183.80
51:58.7,Server_562,40.26154147,67.2670969,437.1603698,185.220414,327.8941126,,190.1666665,2162,3,0.09136512,0,Investigate Security Breach,high,None,218.10.116.135
46:58.7,Server_872,12.15871514,63.45941436,803.3638651,176.8147744,86.9232863,,39.85794681,8207,3,0.019450423,0,Restart Service,low,Memory Leak,221.233.182.54
41:58.7,Server_388,96.04311544,40.35530448,713.7069031,383.3850365,47.7060254,,176.1488306,1394,3,0.620020105,0,None,low,None,170.137.82.15
36:58.7,Server_2,46.32613311,13.25454407,96.2178724,68.45884279,184.2942224,,158.0263583,2817,1,0.208978022,0,None,high,Security Breach,182.131.184.255
31:58.7,Server_390,64.20946342,7.034476174,161.5076147,429.7851066,289.8340499,,56.05845134,866,2,0.610171423,0,Monitor,low,DDoS Attack,205.192.180.253
26:58.7,Server_566,68.2990057,45.68258535,853.9506842,44.73361142,365.244756,,199.2790488,7841,4,0.606815933,0,Investigate Security Breach,medium,Security Breach,225.50.250.187
21:58.7,Server_106,56.91880233,50.71414961,78.25180078,166.3120171,21.7707607,,59.63281725,849,1,0.954948812,1,Investigate Security Breach,high,Memory Leak,205.188.53.98
16:58.7,Server_772,24.49946532,83.15443548,923.9327453,200.6326063,105.4470664,,104.3978841,1651,1,0.162102837,0,Monitor,low,None,109.228.150.78
11:58.7,Server_822,76.73858976,44.36910674,308.1651147,202.8584525,224.8343368,,147.6653051,3226,5,0.736618042,1,Investigate Security Breach,low,DDoS Attack,193.13.79.209
06:58.7,Server_477,81.35643756,31.7101881,618.4602233,101.9604386,186.2121394,,10.74500036,3712,5,0.189555604,0,Monitor,low,DDoS Attack,197.246.118.50
01:58.7,Server_703,57.53268067,48.89916447,586.3518401,305.5478335,234.560648,,76.18566743,3770,3,0.023496824,0,Monitor,medium,Security Breach,26.245.60.197
56:58.7,Server_402,51.41331026,27.60909564,426.4410683,232.2503508,170.4232022,,118.3443252,8517,5,0.144137404,0,Restart Service,low,None,39.244.242.167
51:58.7,Server_730,15.8241274,13.67925806,79.86507743,288.1108677,298.0518146,,122.9682643,314,1,0.069474783,0,Investigate Security Breach,medium,None,33.215.202.65
46:58.7,Server_556,12.97540784,15.7390882,232.8476978,311.3082534,434.3370389,,155.0543938,9427,3,0.518522292,0,Monitor,low,DDoS Attack,250.0.233.94
41:58.7,Server_162,37.25866033,35.31967369,634.2248115,103.7547206,50.1411849,,113.0861454,6069,3,0.501641888,0,Investigate Security Breach,low,CPU Spike,97.241.7.143
36:58.7,Server_202,34.53038477,6.204259668,474.0541341,460.9427454,153.5647907,,198.0858384,3014,1,0.953228605,1,Monitor,low,Memory Leak,62.27.45.207
31:58.7,Server_958,95.59736284,25.91931223,443.1451937,416.746259,140.5013758,,133.8396264,2125,3,0.902619181,1,Monitor,high,None,56.177.194.2
26:58.7,Server_996,79.44416053,79.81469839,142.8177558,415.9181823,276.6261772,,133.2372642,171,3,0.682190141,0,Restart Service,medium,CPU Spike,177.163.62.242
21:58.7,Server_270,67.69280805,27.28863328,379.771054,270.5103559,447.1819604,,94.08264758,1972,4,0.141010673,0,None,low,Memory Leak,92.105.69.40
16:58.7,Server_863,54.17656846,15.51930355,550.1090245,411.8263886,411.7572259,,97.86588686,5768,1,0.167094318,0,None,high,Memory Leak,174.129.22.14
11:58.7,Server_816,20.89991542,95.1626532,123.8080982,317.467641,452.2520606,,103.5627777,4768,0,0.473687526,0,Increase Resources,medium,None,96.235.163.184
06:58.7,Server_271,97.95338386,64.13466105,113.360965,230.7719083,114.1383205,,192.3899004,4021,1,0.82996209,1,Restart Service,high,None,116.193.75.11
01:58.7,Server_456,40.62886633,10.7024652,516.9757141,378.7056887,178.3388536,,120.3367426,7250,3,0.909265741,1,Investigate Security Breach,low,CPU Spike,97.146.182.145
56:58.7,Server_462,15.15793223,10.91317682,583.1895651,303.9721706,144.9846164,,20.31095219,2408,2,0.000135252,0,None,low,Memory Leak,238.30.142.107
51:58.7,Server_727,51.91089509,63.15160194,294.7594294,10.98668254,277.4984406,,135.3796713,2511,2,0.769196681,1,Restart Service,low,Memory Leak,165.187.174.146
46:58.7,Server_252,88.0298111,56.3122362,359.4780296,498.5313696,338.8753916,,42.26981943,2487,3,0.554498198,0,Restart Service,medium,Memory Leak,109.20.218.208
41:58.7,Server_702,89.29264517,11.49560338,807.0269033,220.6269967,213.5372193,,89.47258085,4610,4,0.796053758,1,Restart Service,high,Memory Leak,16.13.201.232
36:58.7,Server_296,6.041762025,26.30997012,875.7742228,290.1467077,160.7938058,,27.547448,3955,4,0.076348171,0,Increase Resources,low,Memory Leak,50.241.35.185
31:58.7,Server_725,89.19809575,93.25907688,358.9672523,208.9085871,319.6455261,,39.58754774,1155,0,0.007737132,0,Increase Resources,medium,Security Breach,58.38.111.211
26:58.7,Server_720,30.79100066,59.341027,387.9288361,59.14817153,254.1872254,,153.5853209,6077,1,0.594708854,0,None,low,Memory Leak,28.252.33.170
21:58.7,Server_749,8.702374577,46.83091282,838.8102294,418.6649103,416.0729576,,79.65572495,9158,1,0.383953482,0,Monitor,low,DDoS Attack,96.59.137.118
16:58.7,Server_338,85.54007568,28.76476413,975.1427763,344.4521183,36.43232223,,19.0964511,4364,0,0.165709358,0,Increase Resources,medium,Memory Leak,158.0.202.106
11:58.7,Server_879,87.06734182,17.70131402,354.5635355,415.9727634,370.6753557,,147.5001808,667,4,0.484832947,0,None,low,None,60.144.91.149
06:58.7,Server_53,61.64195259,43.25000999,799.2902427,247.1336089,349.4538386,,11.21015495,876,2,0.430872254,0,Increase Resources,medium,CPU Spike,47.148.211.33
01:58.7,Server_792,59.57120694,92.62482314,505.7077504,397.9365083,434.682979,,163.2417719,7896,2,0.311851939,0,Increase Resources,low,DDoS Attack,209.205.233.201
56:58.7,Server_922,82.2464259,9.627582589,300.5416434,400.8824869,424.0244621,,116.012618,7808,3,0.221101017,0,Investigate Security Breach,high,CPU Spike,162.70.42.162
51:58.7,Server_217,79.69940751,99.14298751,697.6959367,174.7851709,83.64961433,,172.4139303,7020,5,0.544993824,0,None,high,CPU Spike,231.32.228.93
46:58.7,Server_764,89.56001998,24.74220842,489.422858,11.99585657,324.2509617,,63.13450734,1066,5,0.237454407,0,Investigate Security Breach,medium,CPU Spike,170.230.198.249
41:58.7,Server_188,57.51100752,43.83289924,304.7543175,431.2958416,306.0287288,,42.31841726,4298,0,0.065563109,0,Increase Resources,low,None,172.157.147.22
36:58.7,Server_380,96.92647381,9.279874276,151.8681617,100.4702891,350.2595181,,22.77021574,4159,2,0.0804576,0,Restart Service,medium,Security Breach,29.157.83.231
31:58.7,Server_493,99.63394894,60.5543093,873.6066931,435.6694833,490.8255908,,142.956793,9679,4,0.607454827,0,Monitor,medium,Memory Leak,133.52.253.124
26:58.7,Server_41,16.07173795,50.93775021,884.7344133,312.9664542,63.61965527,,182.8666281,8645,1,0.460663805,0,Monitor,low,None,165.48.62.247
21:58.7,Server_157,85.70665716,68.3371683,121.2136681,321.0238331,318.3233211,,143.0775869,9516,4,0.039429344,0,Restart Service,low,None,68.127.72.141
16:58.7,Server_15,52.48311449,56.55442209,680.2256021,131.1370009,302.4803278,,126.2073676,3094,0,0.945749873,1,Monitor,medium,None,154.80.235.227
11:58.7,Server_813,41.81880214,42.82688954,204.4485591,207.2779676,13.65906952,,11.11503977,1384,3,0.891129745,1,Increase Resources,medium,DDoS Attack,165.82.54.238
06:58.7,Server_65,63.24186944,75.08688629,664.0040762,162.9250406,332.7388674,,78.82031662,2585,5,0.136344959,0,Monitor,medium,DDoS Attack,234.45.207.150
01:58.7,Server_857,10.31672794,7.37700714,912.2363339,103.2707576,253.607678,,189.1149919,8044,4,0.902759662,1,Restart Service,high,Memory Leak,241.26.240.131
56:58.7,Server_839,53.11380628,56.39775698,297.2039557,365.0080877,388.7656585,,113.7429075,7743,4,0.23838385,0,None,low,None,174.218.50.128
51:58.7,Server_521,87.73460415,15.81823936,380.5327711,56.9632512,380.0663349,,60.07401502,4876,0,0.446004666,0,Monitor,high,Memory Leak,179.4.181.170
46:58.7,Server_344,25.27884403,46.42079164,805.3734612,260.863793,31.3914994,,33.07662065,4870,0,0.427016272,0,Increase Resources,low,Security Breach,197.34.171.175
41:58.7,Server_129,45.50704,80.1569051,748.6051031,272.6441259,392.4017688,,84.55593449,7886,3,0.310350387,0,Restart Service,low,DDoS Attack,145.116.145.132
36:58.7,Server_648,94.25068433,18.53377089,438.2225202,478.139372,449.6304494,,36.85397866,3154,1,0.920170848,1,Restart Service,low,CPU Spike,163.183.70.238
31:58.7,Server_472,45.71356459,93.90198313,856.1206753,436.0021259,319.6828572,,192.0406634,6017,5,0.492418081,0,Investigate Security Breach,high,CPU Spike,137.77.163.32
26:58.7,Server_63,39.04492507,89.40794578,924.5562039,250.9274868,435.912679,,169.6685879,756,2,0.079340995,0,Restart Service,high,Memory Leak,76.246.98.140
21:58.7,Server_139,46.85098157,44.41598173,480.0114565,423.6494125,111.9883551,,100.1753353,3985,1,0.951857375,1,None,medium,None,112.210.20.249
16:58.7,Server_499,54.34801282,5.567609869,87.47902247,397.383073,451.5033287,,198.1708531,8666,4,0.591950373,0,None,medium,None,114.139.29.112
11:58.7,Server_593,65.03917769,80.02575853,533.9679791,23.66925614,468.5842322,,38.68063768,402,2,0.670771584,0,None,medium,DDoS Attack,159.0.190.101
06:58.7,Server_392,81.06581609,88.68510132,752.6983366,461.8471687,149.5566457,,40.8568881,7278,4,0.643549773,0,Monitor,medium,Memory Leak,170.111.248.139
01:58.7,Server_675,47.94970955,21.60011877,259.0339554,347.0733349,179.2296744,,40.37036294,9764,0,0.448604267,0,Increase Resources,high,CPU Spike,164.173.192.214
56:58.7,Server_419,82.66068883,92.03825984,144.4588046,339.2566517,358.3453418,,36.47033097,2607,2,0.196284144,0,Investigate Security Breach,medium,Memory Leak,135.4.169.32
51:58.7,Server_289,55.70346283,91.83924134,320.9539114,359.6059281,174.6736481,,103.6469125,8586,1,0.893826485,1,Increase Resources,high,None,214.133.147.87
46:58.7,Server_379,37.15564848,49.77263085,61.00754424,120.1333182,494.8556585,,156.9068906,1106,0,0.226466705,0,None,low,None,246.1.114.16
41:58.7,Server_773,67.50532867,80.81330703,729.6981432,24.294476,151.2160994,,132.0226526,6348,2,0.63761595,0,Monitor,low,DDoS Attack,224.135.139.158
36:58.7,Server_490,73.1836142,47.27005794,188.7649474,123.6032616,24.14760522,,89.89637983,5576,0,0.708275983,1,None,low,None,130.179.247.87
31:58.7,Server_231,58.01465268,58.58439526,737.466571,399.3431918,410.6382458,,15.53289621,1537,1,0.407305799,0,Restart Service,low,Security Breach,11.27.86.131
26:58.7,Server_41,10.37842245,35.38470593,272.820593,302.6844316,31.215568,,75.25334073,8432,4,0.616786113,0,None,low,DDoS Attack,131.195.251.18
21:58.7,Server_28,21.13887314,20.14958781,992.4590033,187.0265152,487.3872949,,61.96142049,1475,4,0.911952386,1,None,medium,None,246.4.126.72
16:58.7,Server_135,32.10328348,75.92097546,555.205613,128.3444397,303.9784225,,54.06085714,9394,0,0.711446292,1,Monitor,low,CPU Spike,163.184.244.40
11:58.7,Server_201,31.84943257,5.132320229,89.2719132,401.9174659,225.2583943,,84.58077299,6016,0,0.051914284,0,Restart Service,low,CPU Spike,53.140.35.179
06:58.7,Server_840,68.97497602,60.05750552,784.0449336,234.3559205,368.9632832,,140.8134585,8581,3,0.417476976,0,Investigate Security Breach,medium,DDoS Attack,77.42.193.181
01:58.7,Server_780,6.743122859,87.14517251,439.5857329,309.7546614,360.7601347,,151.3691822,6465,4,0.189878358,0,Monitor,high,Security Breach,167.185.166.114
56:58.7,Server_930,76.78976882,26.02134224,626.9552239,16.15973934,200.37683,,45.8862141,1231,2,0.888887579,1,Monitor,low,CPU Spike,19.227.180.181
51:58.7,Server_33,30.20753511,36.6254484,953.6525617,220.6666852,114.8309942,,126.9530439,6593,1,0.636886488,0,Investigate Security Breach,low,None,113.166.210.180
46:58.7,Server_48,34.45207539,60.81115602,541.4062833,17.56288797,424.0077855,,71.34845617,7975,4,0.640794503,0,None,low,None,39.97.151.36
41:58.7,Server_503,55.15143365,28.45267342,814.1575468,395.8398854,461.7679607,,54.92868687,8894,2,0.273797627,0,Monitor,medium,DDoS Attack,23.180.177.80
36:58.7,Server_407,25.51293209,85.51125145,337.6531764,132.1332325,497.4818314,,199.4990863,9001,0,0.297385085,0,None,medium,Security Breach,180.165.10.94
31:58.7,Server_574,89.02477479,39.82730088,728.7949913,91.8899682,187.9896139,,21.95366306,5685,4,0.484232741,0,Increase Resources,low,None,222.147.22.88
26:58.7,Server_728,13.11003404,60.25330338,144.3568541,463.933118,292.6936488,,172.0538548,2303,1,0.429994467,0,None,high,None,182.55.158.244
21:58.7,Server_805,47.21632442,26.48150902,898.6816022,18.82375008,490.7159358,,85.75440923,7795,5,0.915412352,1,Restart Service,low,DDoS Attack,145.247.132.29
16:58.7,Server_99,85.6951156,8.931702014,239.760037,106.9322887,212.1101328,,188.9470238,4950,5,0.951920772,1,Monitor,high,CPU Spike,249.112.162.52
